offset,keyLength,parentID,nodeName/nameLen,nodeName/nodeUnicode,nodeNumber,
480270,6,9529843,0,,18462,
480282,14,9529877,4,util,18457,
480302,84,9529885,39,OperationImpl$OBEXPutOutputStream.class,18459,
480392,6,9529914,0,,18463,
480404,52,9529940,23,ContentConnection.class,18473,
480462,6,9530002,0,,68135,
480474,30,9530097,12,__init__.pyc,18639,
480510,50,9530120,22,AFNetworking.framework,64038,
480566,52,9530120,23,ReactiveCocoa.framework,18804,
480624,56,9530131,25,AFImageRequestOperation.h,18657,
480686,22,9530145,8,Versions,18690,
480714,54,9530174,24,FeedbackReporter.strings,40283,
480774,24,9530215,9,Resources,40287,
480804,48,9530241,21,MTLValueTransformer.h,40295,
480858,22,9530273,8,Versions,42585,
480886,30,9530282,12,GTDiffFile.h,40834,
480922,20,9530282,7,GTOID.h,40839,
480948,32,9530282,13,GTSubmodule.h,40833,
480986,22,9530283,8,common.h,40408,
481014,16,9530283,5,net.h,40831,
481036,22,9530283,8,remote.h,40493,
481064,6,9530292,0,,40830,
481076,18,9530342,6,blob.h,40790,
481100,20,9530342,7,graph.h,40823,
481126,28,9530342,11,signature.h,40829,
481160,36,9530396,15,refdb_backend.h,42587,
481202,22,9530495,8,Versions,45499,
481230,40,9530504,17,OCTClient+Gists.h,42590,
481276,48,9530504,21,OCTContentTreeEntry.h,42598,
481330,32,9530504,13,OCTRefEvent.h,47461,
481368,6,9530571,0,,47466,
481380,22,9530600,8,en.lproj,47520,
481408,20,9530630,7,Current,67538,
481434,40,9530656,17,ReactiveViewModel,67978,
481480,60,9530677,27,RBLExpandingContainerView.h,68069,
481546,6,9530711,0,,71015,
481558,22,9530727,8,Versions,68195,
481586,32,9530747,13,CodeResources,69153,
481624,22,9530759,8,LlamaKit,69141,
481652,6,9530774,0,,69150,
481664,70,9530785,32,NSControl+RACTextSignalSupport.h,69144,
481740,62,9530785,28,NSSet+RACSequenceAdditions.h,69145,
481808,30,9530785,12,RACSubject.h,69168,
481844,20,9530849,7,Modules,73579,
481870,40,9530882,17,InfoPlist.strings,73580,
481916,110,9530889,52,<GHCreatePullRequestViewController> pr-indented.tiff,73582,
482032,88,9530889,41,<GHRepositoryListItemViewModel>-repo.tiff,83829,
482126,22,9530889,8,EULA.rtf,84978,
482154,48,9530889,21,GHDotComLoginView.nib,84979,
482208,36,9530889,15,git-errors.json,87020,
482250,62,9530889,28,octocat-spinner-black-7.tiff,84977,
482318,6,9530901,0,,73583,
482330,6,9530938,0,,83835,
482342,42,9530955,18,arrow_backward.png,83848,
482390,34,9530955,14,baby_chick.png,83887,
482430,30,9530955,12,birthday.png,83889,
482466,20,9530955,7,boy.png,83890,
482492,22,9530955,8,cat2.png,83891,
482520,32,9530955,13,clock1230.png,83892,
482558,40,9530955,17,confetti_ball.png,83893,
482604,24,9530955,9,curry.png,83894,
482634,36,9530955,15,dragon_face.png,83896,
482676,42,9530955,18,expressionless.png,83897,
482724,36,9530955,15,floppy_disk.png,83898,
482766,54,9530955,24,globe_with_meridians.png,83900,
482826,38,9530955,16,hear_no_evil.png,84029,
482870,32,9530955,13,hourglass.png,84103,
482908,18,9530955,6,jp.png,84112,
482932,28,9530955,11,leopard.png,84113,
482966,22,9530955,8,mask.png,84318,
482994,38,9530955,16,movie_camera.png,84322,
483038,42,9530955,18,no_pedestrians.png,84325,
483086,34,9530955,14,open_hands.png,84327,
483126,62,9530955,28,person_with_pouting_face.png,84348,
483194,38,9530955,16,purple_heart.png,84477,
483238,26,9530955,10,repeat.png,84522,
483270,24,9530955,9,santa.png,84523,
483300,24,9530955,9,skull.png,84526,
483330,32,9530955,13,spaghetti.png,84910,
483368,26,9530955,10,surfer.png,84962,
483400,26,9530955,10,tiger2.png,84963,
483432,64,9530955,29,twisted_rightwards_arrows.png,84964,
483502,34,9530955,14,video_game.png,84973,
483542,38,9530955,16,white_circle.png,83895,
483586,6,9530956,0,,83888,
483598,6,9531135,0,,83899,
483610,6,9531313,0,,84319,
483622,6,9531482,0,,84524,
483634,6,9531662,0,,84975,
483646,6,9531839,0,,86504,
483658,6,9531886,0,,84980,
483670,6,9531910,0,,84981,
483682,26,9531929,10,git-bundle,84982,
483714,34,9531929,14,git-diff-index,85091,
483754,30,9531929,12,git-ls-files,86305,
483790,30,9531929,12,git-patch-id,86322,
483826,32,9531929,13,git-rev-parse,86325,
483864,24,9531929,9,git-stash,86176,
483894,6,9531963,0,,86469,
483906,22,9532091,8,gvimdiff,86526,
483934,32,9532118,13,update.sample,86978,
483972,34,9532131,14,git-cat-file.1,86529,
484012,30,9532131,12,git-commit.1,86530,
484048,52,9532131,23,git-get-tar-commit-id.1,86532,
484106,28,9532131,11,git-mktag.1,86964,
484140,30,9532131,12,git-rerere.1,86968,
484176,24,9532131,9,git-svn.1,86606,
484206,6,9532174,0,,87017,
484218,6,9532292,0,,87019,
484230,6,9532337,0,,18846,
484242,20,9532569,7,3291723,18879,
484268,6,9532952,0,,21759,
484280,6,9533122,0,,21788,
484292,6,9533387,0,,22561,
484304,12,9533463,3,lib,21794,
484322,28,9533468,11,recovery.py,22372,
484356,6,9533840,0,,22642,
484368,6,9535090,0,,22866,
484380,6,9557691,0,,22996,
484392,6,9568100,0,,22880,
484404,40,9568493,17,Catalog_Index.csv,23015,
484450,46,9605341,20,Attributes_Index.csv,32192,
484502,6,9615184,0,,2975,
484514,6,9615290,0,,33592,
484526,6,9639858,0,,32922,
484538,6,9639920,0,,2893,
484550,6,9639976,0,,33607,
484562,38,9640106,16,Extents_Leaf.csv,40832,
